CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
BKG44A.DEN.7,BKG44,0
BKG44A.DEN.6,BKG44,0
BKG44A.DEN.16,BKG44,0
BKG44A.DEN.14,BKG44,0
BKG44A.DEN.12,BKG44,0
BKG44A.DEN.10,BKG44,0
BKG45A.PRI.XS,BKG45,0
BKG45A.PRI.S,BKG45,0
BKG45A.PRI.M,BKG45,0
BKG45A.PRI.L,BKG45,0
BKG48A.PIN.8,BKG48,0
BKG48A.PIN.7,BKG48,0
BKG48A.PIN.6,BKG48,0
BKG48A.PIN.16,BKG48,0
BKG48A.PIN.14,BKG48,0
BKG48A.PIN.12,BKG48,0
BKG48A.PIN.10,BKG48,0
DJC65.DFN07,DJC65,0
DJC65.DFN06,DJC65,0
DJC65.DFN05,DJC65,0
DJC65.DFN04,DJC65,0
DJC65.DFN03,DJC65,0
DJC65.DFN02,DJC65,0
DJC65.DFN01,DJC65,0
DJC65.DFN00,DJC65,0
DJC65.DFM99,DJC65,0
DJC65.DFM98,DJC65,0
DJC65.DFM97,DJC65,0
BKL07A.RED.8,BKL07,0
BKL07A.RED.7,BKL07,0
BKL07A.RED.6,BKL07,0
BKL07A.RED.16,BKL07,0
BKL07A.RED.14,BKL07,0
BKL07A.RED.12,BKL07,0
BKL07A.RED.10,BKL07,0
F9270.PIN.7,F9270,0
F9270.PIN.6X,F9270,0
F9270.PIN.6,F9270,0
F9270.PIN.5,F9270,0
F9270.PIN.4,F9270,0
F9270.PIN.3,F9270,0
F9703.WHI.XS,F9703,0
F9703.WHI.S,F9703,0
F9703.WHI.M,F9703,0
F9703.WHI.L,F9703,0
F9705.XL,F9705,0
F9705.S,F9705,0
F9705.M,F9705,0
F9705.L,F9705,0
DHV63.PIN.16,DHV63,0
DHV63.PIN.14,DHV63,0
DHV63.PIN.12,DHV63,0
DHV63.PIN.10,DHV63,0
DHV63.PIN.8,DHV63,0
DHV63.PIN.7,DHV63,0
DHV63.PIN.6,DHV63,0
DHV64.AQU.8,DHV64,0
DHV64.AQU.7,DHV64,0
DHV64.AQU.16,DHV64,0
DHV64.AQU.14,DHV64,0
DHV64.AQU.12,DHV64,0
DHV64.AQU.10,DHV64,0
DHV64.AQU.6,DHV64,0
DHV65.AQU.XS,DHV65,0
DHV65.AQU.S,DHV65,0
DHV65.AQU.M,DHV65,0
DHV65.AQU.L,DHV65,0
DNH57.PRI.6,DNH57,0
DNH57.PRI.5,DNH57,0
DNH57.PRI.4,DNH57,0
DNH57.PRI.3,DNH57,0
DNH58.YEL.6,DNH58,0
DNH58.YEL.5,DNH58,0
DNH58.YEL.4,DNH58,0
DNH58.YEL.3,DNH58,0
CMN75C.BLA.8,CMN75,0
CMN75C.BLA.7,CMN75,0
CMN75C.BLA.6,CMN75,0
CMN75C.BLA.16,CMN75,0
CMN75C.BLA.14,CMN75,0
CMN75C.BLA.12,CMN75,0
CMN75C.BLA.10,CMN75,0
F9380.MIN.8,F9380,0
F9380.MIN.7,F9380,0
F9380.MIN.6,F9380,0
F9380.MIN.16,F9380,0
F9380.MIN.14,F9380,0
F9380.MIN.12,F9380,0
F9380.MIN.10,F9380,0
T6366.BLU.10,T6366,0
T6366.BLU.8,T6366,0
T6366.BLU.6,T6366,0
T6366.BLU.7,T6366,0
T6366.BLU.12,T6366,0
T6366.BLU.16,T6366,0
T6366.BLU.14,T6366,0
CDJC65.DFN07,CDJC65,0
CDJC65.DFN06,CDJC65,0
CDJC65.DFN05,CDJC65,0
CDJC65.DFN04,CDJC65,0
CDJC65.DFN03,CDJC65,0
CDJC65.DFN02,CDJC65,0
CDJC65.DFN01,CDJC65,0
CDJC65.DFN00,CDJC65,0
CDJC65.DFM99,CDJC65,0
CDJC65.DFM98,CDJC65,0
CDJC65.DFM97,CDJC65,0
CKW12A.COR.L,CKW12,0
CKW12A.COR.XL,CKW12,0
CKW12A.COR.S,CKW12,0
CKW12A.COR.M,CKW12,0
CKT18A.BLU.XS,CKT18,0
CKT18A.BLU.XL,CKT18,0
CKT18A.BLU.S,CKT18,0
CKT18A.BLU.M,CKT18,0
CKT18A.BLU.L,CKT18,0
DRH70.WHI.S,DRH70,0
DRH70.WHI.M,DRH70,0
DRH70.WHI.L,DRH70,0
DRH70.WHI.XS,DRH70,0
CMV18.RED.XL,CMV18,0
CMV18.RED.S,CMV18,0
CMV18.RED.M,CMV18,0
CMV18.RED.L,CMV18,0
CMV17.RED.S,CMV17,0
CMV17.RED.L,CMV17,0
CMV17.RED.XL,CMV17,0
CMV17.RED.M,CMV17,0
CMV17.RED.XS,CMV17,0
CMV19.RED.8,CMV19,0
CMV19.RED.6,CMV19,0
CMV19.RED.14,CMV19,0
CMV19.RED.10,CMV19,0
CMV19.RED.7,CMV19,0
CMV19.RED.16,CMV19,0
CMV19.RED.12,CMV19,0
DLB46.BER.XL,DLB46,0
DLB46.BER.S,DLB46,0
DLB46.BER.M,DLB46,0
DLB46.BER.L,DLB46,0
DLB46-OC,DLB46,0
CJJ34.PUR.XS,CJJ34,0
CJJ34.PUR.XL,CJJ34,0
CJJ34.PUR.S,CJJ34,0
CJJ34.PUR.M,CJJ34,0
CJJ34.PUR.L,CJJ34,0
