CatalogEntryUpdate
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Available,Delete
FHT25-R70A,ItemBean,06,USD,48,BLND LNG STRT W BANG WIG,"Long, Straight, Bangs, Blond",,,,1,1,1,0
FHT26-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Bangs, Light Red",,,,1,1,1,0
FHT27-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Bangs, Red",,,,1,1,1,0
FHT28-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Bangs, Brown",,,,1,1,1,0
FHT29-R70A,ItemBean,06,USD,48,DK BRN LNG STRT W BANG,"Long, Straight, Bangs, Dark Brown",,,,1,1,1,0
FHT30-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Bangs, Black",,,,1,1,1,0
FHT31-R70A,ItemBean,unassigned,USD,48,,"Long, Textured, Light Blond",,,,1,1,1,0
FHT32-R70A,ItemBean,unassigned,USD,48,,"Long, Textured, Blond",,,,1,1,1,0
FHT33-R70A,ItemBean,06,USD,48,STRWBRRY LNG TXTURE WIG,"Long, Textured, Light Red",,,,1,1,1,0
FHT34-R70A,ItemBean,06,USD,48,RED LONG TEXTURE WIG,"Long, Textured, Red",,,,1,1,1,0
FHT35-R70A,ItemBean,unassigned,USD,48,,"Long, Textured, Brown",,,,1,1,1,0
FHT36-R70A,ItemBean,06,USD,48,DK BROWN LNG TXTURE WIG,"Long, Textured, Dark Brown",,,,1,1,1,0
FHT37-R70A,ItemBean,unassigned,USD,48,,"Long, Textured, Black",,,,1,1,1,0
FHT38-R70A,ItemBean,06,USD,48,PLATINUM LONG WAVY WIG,"Long, Wavy, Light Blond",,,,1,1,1,0
FHT39-R70A,ItemBean,unassigned,USD,48,,"Long, Wavy, Blond",,,,1,1,1,0
FHT40-R70A,ItemBean,unassigned,USD,48,,"Long, Wavy, Light Red",,,,1,1,1,0
FHT41-R70A,ItemBean,unassigned,USD,48,,"Long, Wavy, Red",,,,1,1,1,0
FHT42-R70A,ItemBean,unassigned,USD,48,,"Long, Wavy, Brown",,,,1,1,1,0
FHT43-R70A,ItemBean,06,USD,48,DK BROWN LONG WAVY WIG,"Long, Wavy, Dark Brown",,,,1,1,1,0
FHT44-R70A,ItemBean,unassigned,USD,48,,"Long, Wavy, Black",,,,1,1,1,0
FHT45-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Light Blond",,,,1,1,1,0
FHT46-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Blond",,,,1,1,1,0
FHT47-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Light Red",,,,1,1,1,0
FHT48-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Red",,,,1,1,1,0
FHT49-R70A,ItemBean,06,USD,48,BROWN NATURAL LONG WIG,"Long, Tight Curls, Brown",,,,1,1,1,0
FHT50-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Dark Brown",,,,1,1,1,0
FHT51-R70A,ItemBean,unassigned,USD,48,,"Long, Tight Curls, Black",,,,1,1,1,0
FHT52-R80A,ItemBean,unassigned,USD,27,,Blue 20,,,,1,1,1,0
FHT53-R80A,ItemBean,unassigned,USD,27,,Blue 30,,,,1,1,1,0
FHT54-R80A,ItemBean,06,USD,27,"AG-EYE-18"" LT BL/MED",Light Blue 20,,,,1,1,1,0
FHT55-R80A,ItemBean,unassigned,USD,27,,Light Blue 30,,,,1,1,1,0
FHT56-R80A,ItemBean,unassigned,USD,27,,Gray 20,,,,1,1,1,0
FHT57-R80A,ItemBean,unassigned,USD,27,,Gray 30,,,,1,1,1,0
FHT58-R80A,ItemBean,unassigned,USD,27,"AG-EYE-18"" HAZEL/LIGHT",Hazel 10,,,,1,1,1,0
FHT59-R80A,ItemBean,unassigned,USD,27,,Hazel 30,,,,1,1,1,0
FHT60-R80A,ItemBean,unassigned,USD,27,,Green 20,,,,1,1,1,0
FHT61-R80A,ItemBean,unassigned,USD,27,,Green 30,,,,1,1,1,0
FHT62-R80A,ItemBean,unassigned,USD,27,,Brown 20,,,,1,1,1,0
FHT63-R80A,ItemBean,unassigned,USD,27,,Brown 30,,,,1,1,1,0
FHT64-R80A,ItemBean,unassigned,USD,27,,Light Brown 20,,,,1,1,1,0
FHT65-R80A,ItemBean,unassigned,USD,27,,Light Brown 30,,,,1,1,1,0
FHT66-R60A,ItemBean,unassigned,USD,56,,A 30,,,,1,1,1,0
FHT67-R60A,ItemBean,unassigned,USD,56,,B 10,,,,1,1,1,0
FHT68-R60A,ItemBean,unassigned,USD,56,,B 20,,,,1,1,1,0
FHT69-R60A,ItemBean,unassigned,USD,56,,B 30,,,,1,1,1,0
FHT70-R60A,ItemBean,06,USD,56,JESS MOLD BALD MED SKIN,C 20,,,,1,1,1,0
FHT71-R60A,ItemBean,unassigned,USD,56,,C 30,,,,1,1,1,0
FHT72-R60A,ItemBean,unassigned,USD,56,,D 10,,,,1,1,1,0
FHT73-R60A,ItemBean,unassigned,USD,56,,E 10,,,,1,1,1,0
FHT94-R60A,ItemBean,unassigned,USD,56,,E 20,,,,1,1,1,0
FHT95-R60A,ItemBean,unassigned,USD,56,,E 30,,,,1,1,1,0
FHV04,ItemBean,FP_MarketingProducts,USD,10,BLZ SLAM GO RHINO BLAZE,,,FHV04_01,FHV04_Viewer,0,1,1,0
FHV13,ItemBean,FP_MarketingProducts,USD,13,BLZ BLAZE MOTOR TRUCK,,,FHV13_01,FHV13_Viewer,0,1,1,0
FHV14,ItemBean,FP_MarketingProducts,USD,13,BLZ STRIPES MOTOR TRUCK,,,FHV14_01,FHV14_Viewer,0,1,1,0
FHV24,ItemBean,FP_MarketingProducts,USD,5,BLAZE & AJ,,,FHV24_01,FHV24_Viewer,0,1,1,0
