CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BJP38,dolls,60
BJP38,gift-guide,24
BLL48,csr_nla_bc,0
BLL48,world-culture-dolls,12
BLL48,shoes-accessories,4
BLL48,doll-clothes,5
BLL48,designer-dolls,5
BLL48,dolls,61
BLL48,gift-guide,25
W3461,bc-pop-culture,38
W3461,university-barbie-dolls,9
W3461,linda-kyaw,0
W3461,pink-label,0
W3461,world-culture-dolls,13
W3461,shoes-accessories,5
W3461,doll-clothes,6
W3461,designer-dolls,6
W3461,dolls,62
W3461,gift-guide,26
Y2359,bc-pop-culture,45
Y2359,university-barbie-dolls,14
Y2359,linda-kyaw,0
Y2359,pink-label,0
Y2359,world-culture-dolls,14
Y2359,shoes-accessories,6
Y2359,doll-clothes,7
Y2359,designer-dolls,7
Y2359,dolls,63
Y2359,gift-guide,27
CBD23,barbie-fashion,1
CBD23,barbie-entrepreneur-dolls,1
CBD23,2014-collection,8
CBD23,special-occasion-dolls,1
CBD23,shoes-accessories,7
CBD23,doll-clothes,8
CBD23,designer-dolls,8
CBD23,dolls,64
CBD23,gift-guide,28
CBD24,barbie-fashion,2
CBD24,barbie-entrepreneur-dolls,2
CBD24,2014-collection,9
CBD24,special-occasion-dolls,2
CBD24,shoes-accessories,8
CBD24,doll-clothes,9
CBD24,designer-dolls,9
CBD24,dolls,65
CBD24,gift-sets,1
BCP13,special-occasion-dolls,3
BCP13,shoes-accessories,9
BCP13,doll-clothes,10
BCP13,designer-dolls,10
BCP13,dolls,66
BCP13,gift-sets,2
BCP40,special-occasion-dolls,4
BCP40,shoes-accessories,10
BCP40,doll-clothes,11
BCP40,designer-dolls,11
BCP40,dolls,67
BCP40,gift-sets,3
BCP72,gone-with-the-wind-collection,3
BCP72,2014-collection,0
BCP72,2014-hollywood-pop-culture,4
BCP72,monica-lavalle,0
BCP72,black-label,0
BCP72,special-occasion-dolls,5
BCP72,shoes-accessories,11
BCP72,doll-clothes,12
BCP72,designer-dolls,12
BCP72,dolls,68
BCP72,gift-sets,4
BDF48,special-occasion-dolls,6
BDF48,shoes-accessories,12
BDF48,doll-clothes,13
BDF48,designer-dolls,13
BDF48,dolls,69
BDF48,gift-sets,5
BDF49,special-occasion-dolls,7
BDF49,shoes-accessories,13
BDF49,doll-clothes,14
BDF49,designer-dolls,14
BDF49,dolls,70
BDF49,gift-sets,6
BDH13,special-occasion,2
BDH13,holiday-dolls,3
BDH13,2014-fantasy-special-occasion-dolls,2
BDH13,2014-collection,6
BDH13,linda-kyaw,0
BDH13,special-occasion-dolls,8
BDH13,shoes-accessories,14
BDH13,doll-clothes,15
BDH13,designer-dolls,15
BDH13,dolls,71
BDH13,gift-sets,7
BDH14,special-occasion,3
BDH14,holiday-dolls,4
BDH14,2014-fantasy-special-occasion-dolls,3
BDH14,2014-collection,7
BDH14,linda-kyaw,0
BDH14,special-occasion-dolls,9
BDH14,ornaments,1
BDH14,doll-clothes,16
BDH14,barbie-look,1
BDH14,dolls,72
BDH14,gift-sets,8
BJN62,special-occasion-dolls,10
BJN62,ornaments,2
BJN62,doll-clothes,17
BJN62,barbie-look,2
BJN62,dolls,73
BJN62,gift-sets,9
BJP33,special-occasion-dolls,11
BJP33,ornaments,3
BJP33,sale-dolls,1
BJP33,barbie-look,3
BJP33,dolls,74
BJP33,gift-sets,10
BLP25,special-occasion-dolls,12
BLP25,ornaments,4
BLP25,sale-dolls,2
BLP25,barbie-look,4
BLP25,dolls,75
BLP25,gift-sets,11
BLP26,special-occasion-dolls,13
BLP26,ornaments,6
BLP26,sale-dolls,3
BLP26,barbie-look,5
BLP26,dolls,76
BLP26,gift-sets,12
BLP40,special-occasion-dolls,14
BLP40,ornaments,7
BLP40,sale-dolls,4
BLP40,barbie-look,6
BLP40,dolls,77
BLP40,gift-sets,13
BLP48,special-occasion-dolls,15
BLP48,gifts,1
BLP48,sale-dolls,5
BLP48,barbie-look,7
BLP48,dolls,78
BLP48,gift-sets,14
BLT23,special-occasion-dolls,16
BLT23,gifts,2
BLT23,sale-dolls,6
BLT23,barbie-look,8
BLT23,dolls,79
BLT23,gift-sets,15
BLT25,special-occasion-dolls,17
BLT25,gifts,3
BLT25,sale-dolls,7
BLT25,barbie-look,9
BLT25,dolls,80
BLT25,gift-sets,16
BMB99,special-occasion-dolls,18
BMB99,gifts,4
BMB99,sale-dolls,8
BMB99,barbie-look,10
BMB99,dolls,81
BMB99,gift-sets,17
CBJ35,special-occasion-dolls,19
CBJ35,gifts,5
CBJ35,sale-dolls,9
CBJ35,barbie-look,11
CBJ35,dolls,82
CBJ35,star-light-adventures,1
CBJ35,gift-sets,18
CBL19,vintage-looks,1
CBL19,gifts,6
CBL19,sale-dolls,10
CBL19,barbie-look,12
CBL19,dolls,83
CBL19,star-light-adventures,2
CCG95,csr_nla_bc,0
CCG95,vintage-looks,2
CCG95,gifts,7
CCG95,sale-dolls,11
CCG95,barbie-look,13
CCG95,dolls,84
CCG95,star-light-adventures,3
CCJ44,barbie-fashion,3
CCJ44,barbie-entrepreneur-dolls,3
CCJ44,2014-collection,10
CCJ44,vintage-looks,3
CCJ44,gifts,8
CCJ44,sale-dolls,12
CCJ44,barbie-look,14
CCJ44,dolls,85
CCJ44,star-light-adventures,4
CCN12,csr_nla_bc,0
CCN12,vintage-looks,4
CCN12,gifts,9
CCN12,sale-dolls,13
CCN12,barbie-look,15
CCN12,dolls,86
CCN12,star-light-adventures,5
CCV23,vintage-looks,5
CCV23,gifts,10
CCV23,sale-dolls,14
CCV23,barbie-look,16
CCV23,dolls,87
CCV23,star-light-adventures,6
CDB13,vintage-looks,6
CDB13,gifts,11
CDB13,sale-dolls,15
CDB13,barbie-look,17
CDB13,dolls,88
CDB20,vintage-looks,7
CDB20,gifts,12
CDB20,sale-dolls,16
CDB20,barbie-fashionistas,1
CDB20,dolls,89
CDB27,vintage-looks,8
CDB27,sale-lifestyle,1
CDB27,sale-dolls,17
CDB27,barbie-fashionistas,2
CDB27,dolls,90
CDM10,vintage-looks,9
CDM10,sale-lifestyle,2
CDM10,sale-dolls,18
CDM10,barbie-fashionistas,3
CDM10,dolls,91
BJX85,vintage-looks,10
BJX85,sale-lifestyle,3
BJX85,sale-dolls,19
BJX85,barbie-fashionistas,4
BJX85,dolls,92
CBN46,vintage-looks,11
CBN46,sale-lifestyle,4
CBN46,sale-dolls,20
CBN46,barbie-fashionistas,5
CBN46,dolls,93
CCF69,vintage-looks,12
CCF69,sale-lifestyle,5
CCF69,sale-dolls,21
CCF69,barbie-fashionistas,6
CCF69,dolls,94
BJP31,vintage-looks,13
BJP31,sale-lifestyle,6
